building_id, mean_temp, std_temp, pct_above_18, pct_below_15
10000, 14.0123, 6.3674, 30.9410, 55.5423
10009, 11.0001, 5.8111, 16.6713, 74.9724
10014, 14.7442, 7.0377, 38.2637, 52.8084
10019, 14.7355, 7.0303, 38.1492, 52.9293
10029, 10.6160, 6.3173, 18.2556, 74.5130
10031, 12.5071, 6.2784, 24.0447, 66.3951
10051, 13.2890, 5.9991, 25.9769, 62.8599
10053, 11.3665, 6.2612, 19.9511, 72.4105
10056, 14.2201, 6.1795, 31.7635, 57.0617
10064, 12.7170, 6.9642, 28.7914, 62.7569
10075, 15.1569, 6.4405, 39.1209, 47.4561
10079, 15.0944, 7.3139, 41.9000, 49.4497
10080, 15.7777, 7.2806, 46.3658, 44.7110
10082, 16.4657, 6.7133, 48.6435, 40.5614
10083, 15.6392, 7.1208, 44.8555, 45.8864
10084, 15.1006, 7.1505, 40.9065, 50.2665
10085, 15.8689, 7.1928, 46.1830, 44.7257
10086, 14.3915, 7.2156, 37.2566, 53.0188
10087, 15.0732, 7.2755, 41.5324, 49.8971
10089, 13.9898, 7.2763, 35.4586, 56.3640
10090, 14.2898, 6.6188, 36.6172, 51.1964
10093, 14.0953, 6.5674, 33.3774, 56.4573
10094, 14.1940, 6.7615, 35.3768, 54.9258
10097, 14.3530, 6.8623, 37.7897, 51.3088
10117, 15.4650, 6.6821, 44.1165, 44.4754
10119, 14.0876, 6.7517, 35.0802, 54.6976
10120, 15.2818, 8.0315, 46.1688, 47.7163
10124, 13.8657, 7.0325, 34.5643, 56.0695
10126, 13.3955, 6.6368, 29.6611, 61.0925
10128, 17.4262, 6.7063, 56.0329, 34.8859
10136, 15.4232, 7.2731, 44.3078, 46.8912
10144, 12.1072, 6.1273, 21.8105, 68.9034
10145, 10.6488, 5.8926, 16.5607, 75.2966
10150, 14.9600, 7.4955, 41.1958, 50.7427
10161, 13.4487, 7.0306, 31.8098, 59.4732
10165, 13.0533, 6.7325, 29.0650, 62.0593
10167, 13.2314, 6.8149, 30.1877, 60.8537
10168, 13.1923, 6.9011, 30.3206, 60.4900
10174, 16.5759, 6.9737, 49.4067, 41.3792
10176, 16.6501, 6.8579, 49.7587, 40.7391
10177, 16.6179, 6.7877, 49.0884, 40.9721
10180, 16.4839, 6.8700, 48.1854, 42.1538
10182, 16.7342, 6.3195, 50.8603, 37.5345
10198, 14.4284, 7.3421, 38.6278, 53.2175
10199, 17.2413, 6.9770, 53.8896, 37.6747
10200, 12.8224, 7.2590, 30.6703, 61.6638
10201, 15.9495, 7.2721, 47.0556, 44.6492
10202, 13.5459, 7.4955, 34.0378, 58.6437
10203, 16.8039, 6.6123, 51.2154, 38.8880
10204, 14.7646, 7.0639, 39.0355, 51.7309
